sweep_type,topology,nodes,traffic,injection_rate,router_latency,vcs_per_vnet,avg_packet_latency,avg_flit_latency,avg_hops,packets_injected,packets_received,flits_injected,flits_received,avg_flit_network_latency,avg_flit_queueing_latency,int_link_util,ext_in_link_util,ext_out_link_util,throughput,accepted_traffic,flit_net_lat_v0,flit_net_lat_v1,flit_net_lat_v2,flit_net_lat_v3,flit_net_lat_v4,flit_queue_lat_v0,flit_queue_lat_v1,flit_queue_lat_v2,flit_queue_lat_v3,flit_queue_lat_v4
core,CrossbarGarnet,8,uniform_random,0.04,1,4,5196.721311,5530.172414,0.0,65.0,61.0,129.0,116.0,2396.551724,3133.62069,0.0,123.0,118.0,0.00061,0.000145,0.0,0.0,43500.0,29500.0,205000.0,0.0,0.0,29000.0,117500.0,217000.0
core,CrossbarGarnet,8,uniform_random,0.06,1,4,5521.978022,5922.580645,0.0,94.0,91.0,166.0,155.0,2690.322581,3232.258065,0.0,157.0,155.0,0.00091,0.00019375,0.0,0.0,64500.0,56000.0,296500.0,0.0,0.0,43000.0,201500.0,256500.0
core,CrossbarGarnet,8,uniform_random,0.08,1,4,5514.851485,5921.212121,0.0,102.0,101.0,170.0,165.0,2648.484848,3272.727273,0.0,167.0,165.0,0.00101,0.00020625,0.0,0.0,71500.0,63500.0,302000.0,0.0,0.0,47000.0,233000.0,260000.0
core,CrossbarGarnet,8,uniform_random,0.1,1,4,5458.715596,5977.777778,0.0,114.0,109.0,190.0,180.0,2627.777778,3350.0,0.0,186.0,182.0,0.00109,0.000225,0.0,0.0,81500.0,72000.0,319500.0,0.0,0.0,53000.0,248000.0,302000.0
core,CrossbarGarnet,8,uniform_random,0.12,1,4,5513.513514,5991.758242,0.0,115.0,111.0,191.0,182.0,2601.648352,3390.10989,0.0,188.0,184.0,0.00111,0.0002275,0.0,0.0,81500.0,76000.0,316000.0,0.0,0.0,53000.0,262000.0,302000.0
core,CrossbarGarnet,8,uniform_random,0.14,1,4,5491.525424,6021.505376,0.0,125.0,118.0,213.0,186.0,2701.612903,3319.892473,0.0,194.0,187.0,0.00118,0.0002325,0.0,0.0,86000.0,75500.0,341000.0,0.0,0.0,57000.0,270500.0,290000.0
core,CrossbarGarnet,8,uniform_random,0.16,1,4,5531.25,6188.095238,0.0,132.0,128.0,224.0,210.0,2628.571429,3559.52381,0.0,215.0,212.0,0.00128,0.0002625,0.0,0.0,92000.0,80500.0,379500.0,0.0,0.0,61000.0,295500.0,391000.0
core,CrossbarGarnet,8,uniform_random,0.18,1,4,5534.090909,6093.75,0.0,135.0,132.0,223.0,208.0,2612.980769,3480.769231,0.0,213.0,209.0,0.00132,0.00026,0.0,0.0,95000.0,79500.0,369000.0,0.0,0.0,63000.0,308500.0,352500.0
core,CrossbarGarnet,8,uniform_random,0.2,1,4,5444.029851,6053.333333,0.0,138.0,134.0,230.0,225.0,2404.444444,3648.888889,0.0,229.0,227.0,0.00134,0.00028125,0.0,0.0,97500.0,86500.0,357000.0,0.0,0.0,64000.0,309500.0,447500.0
core,CrossbarGarnet,8,uniform_random,0.25,1,4,5590.909091,6077.433628,0.0,150.0,143.0,242.0,226.0,2484.513274,3592.920354,0.0,238.0,230.0,0.00143,0.0002825,0.0,0.0,106000.0,100000.0,355500.0,0.0,0.0,68000.0,346000.0,398000.0
